maties_id,name,club,rating,win_per,played,won,lost,last_played
861,"Chetan Nathoo",Lenasia,1661,94.3,35,33,2,2025-06-09
516,"Shaun Jones",Duinefontein,1585,100.0,18,18,0,2025-06-10
836,"Ruan Scholtz",CSIR,1582,87.1,31,27,4,2025-06-02
330,"Theo Cogill","Community House",1559,100.0,16,16,0,2025-06-10
264,"Cuten Lodewyk","Community House",1552,87.0,23,20,3,2025-06-10
364,"Nashwin Pienaar",Liv-Ken,1549,100.0,18,18,0,2025-06-11
862,"Danisha Patel",Lenasia,1546,85.7,28,24,4,2025-06-09
256,"Theo Lingeveldt",Boundary,1540,94.4,18,17,1,2025-06-12
890,"Luke Abrahams",Masters,1539,94.7,19,18,1,2025-06-02
533,"Rochica Sonday",Duinefontein,1530,90.0,20,18,2,2025-06-12
905,"Tevia Sapire",Masters,1523,86.2,29,25,4,2025-06-09
560,"Ashlyn Wagner",Stephanians,1511,83.3,18,15,3,2025-06-09
891,"Mark Williams",Masters,1509,92.0,25,23,2,2025-06-09
244,"Musfiquh Kalam",Boundary,1505,90.9,22,20,2,2025-06-12
147,"Moeneeb Isaacs","MP Royals",1501,77.8,18,14,4,2025-06-10
889,"Liam Beukes",Masters,1500,88.9,27,24,3,2025-05-19
885,"Jason Brickhill",Masters,1490,82.9,35,29,6,2025-06-09
347,"Darren Rodgers",Liv-Ken,1486,87.5,16,14,2,2025-06-11
972,"Abdul Hay",Waterfall,1485,75.0,36,27,9,2025-06-02
424,"Kirshwan Steyn",Ravens,1478,77.8,18,14,4,2025-06-12
242,"Denver Sweatz",Boundary,1465,77.8,18,14,4,2025-06-12
540,"Bernard Stewe",Goodwood,1451,81.3,16,13,3,2025-06-12
354,"Adrian Philander",Liv-Ken,1449,81.3,16,13,3,2025-06-11
379,"Zahier Isaacs",Nexus,1449,77.8,18,14,4,2025-06-11
95,"Timothy Fitzgibbon",Top,1443,68.2,22,15,7,2025-06-11
881,"Cowen Lodewyk",Masters,1442,92.9,14,13,1,2025-05-26
388,"Moenieb Roberts",Nexus,1441,80.0,20,16,4,2025-06-11
688,"Isgaaq Jassiem",Stephanians,1440,80.0,20,16,4,2025-06-11
341,"Damian Jeftha",Liv-Ken,1439,87.5,16,14,2,2025-06-11
924,"Nilesh Singh",Queens,1439,67.9,28,19,9,2025-06-02
872,"Sameera Maal",Lenasia,1437,100.0,14,14,0,2025-06-02
216,"Daylin May","Bishop Lavis",1434,80.0,20,16,4,2025-06-12
289,"Emmanuel Uzoukwu","Community House",1434,83.3,18,15,3,2025-06-11
519,"Wayden Brown",Duinefontein,1433,93.8,16,15,1,2025-06-11
904,"Terrence Mathole",Masters,1433,80.0,15,12,3,2025-06-09
1068,"Rainer Sztab",Masters,1433,100.0,10,10,0,2025-06-09
378,"Muaath Adams",Nexus,1432,77.8,18,14,4,2025-06-11
594,"Dale Titus",Stephanians,1432,75.0,16,12,4,2025-06-11
426,"Warren Julius",Ravens,1431,70.0,20,14,6,2025-06-11
866,"Ismail Badat",Lenasia,1423,75.0,24,18,6,2025-06-09
156,"Henry Arends","MP Royals",1420,83.3,18,15,3,2025-06-11
485,"David Nwafor",Duinefontein,1420,66.7,18,12,6,2025-06-10
