Group,Name,Club
1,Cowen Lodewyk,Masters
1,Duwayne Petersen,Maties
1,Peet Karsten,CW
2,Keenen Jooste,Top
2,Joshua Marais,Maties
2,Christian Poggenpoel,Liv-Ken
3,Jodie Galant,Com House
3,Steffan Brundyn,Maties
3,Marvin Musinguzi,Top
4,Cuten Lodewyk,Community House
4,Gajen Chetty,Maties
4,Nande Nqgula,Top
5,Mekhail Schroeder,Duinefontein
5,Cetinhan Celik,Maties
5,Luke Danster,Top
6,Nizaam Moosa,Duinefontein
6,Le Roux Strydom,Maties
6,Njongo Nqgula,Top
6,Jordan Mackrill,Kuilsriver
7,DJ Swanevelder,Maties
7,Taha Erzurumlugil,CW
7,Shane Coetzee,Titans
7,Matthew Meade,UWC
